wall,stateN,momentN,lagMean,lagMin,lagMax,lagLast,heapUsed,heapTotal,goneSeen
1783272044895,1205,2,25.5,0,51,42,1831155,2487495,0
1783272104895,2406,2,25.1,0,52,12,1856129,2522261,0
1783272164896,3605,5,25.1,0,52,24,2173624,2764912,0
1783272224897,4805,10,25.4,0,51,36,1765314,3009478,0
1783272284897,6005,10,25.2,0,51,36,1794137,2519909,0
1783272344899,7206,12,25.7,0,52,0,1936309,2493425,0
1783272404901,8406,17,25.6,0,52,1,1864361,2495269,0
1783272464902,9606,17,25.9,0,52,8,2144252,2773080,0
1783272524903,10805,17,25.8,0,52,40,2159095,2780539,0
1783272584903,12006,22,25.5,0,52,22,2127800,2779884,0
1783272644905,13205,25,25.9,0,52,32,2270163,2854615,0
1783272704907,14406,25,25.5,0,52,1,1632406,2275238,0
1783272764908,15606,27,25.5,0,53,12,2206306,2792470,0
1783272824916,16806,33,25.6,0,52,25,2158246,2789770,0
1783272884918,18006,34,25.6,0,52,15,1476781,2209977,0
1783272944919,19205,37,25.7,0,52,49,1638931,2223287,0
1783273004920,20406,38,25.7,0,52,29,1743188,2495896,0
1783273064922,21606,40,25.7,0,52,42,1798616,2499984,0
1783273124925,22806,40,25.7,0,52,12,1712202,2230062,0
1783273184928,24006,41,25.5,0,52,35,1478113,2995269,0
